Country,Date,Cases,Deaths
Sierra Leone,2015-12-01,14122,3955
Sierra Leone,2015-12-02,14122,3955
Sierra Leone,2015-12-03,14122,3955
Sierra Leone,2015-12-09,14122,3955
Sierra Leone,2015-12-10,14122,3955
Sierra Leone,2015-12-11,14122,3955
Sierra Leone,2015-12-15,14122,3955
Sierra Leone,2015-12-16,14122,3955
Sierra Leone,2015-12-17,14122,3955
Sierra Leone,2015-12-22,14122,3955
Sierra Leone,2015-12-23,14122,3955
Sierra Leone,2015-12-29,14122,3955
Sierra Leone,2016-03-23,14122,3955
